ID,SEVERITY,CATEGORY,TITLE,LOCATION,REPRODUCIBILITY,EXPECTED,ACTUAL,ROOT_CAUSE_STATUS,IMPACT,EVIDENCE,DEPENDENCY,RECOMMENDED_FIX_ORDER,STATUS
DIAG-001,P0,INTEGRATION,Silent LIVE-to-MOCK failover serves fabricated data as real inspection,ui-combined/src/services/api.ts:111-121/159-177/196-231/329-336; liveApi.ts:452-453,ALWAYS (backend unreachable or 5xx),Officer sees explicit backend-unreachable error; no case created,Switches to in-memory MockApiService and renders fabricated case data stamped pipeline_source=LIVE_BACKEND with is_mock_fixture=false; header still shows Mode A,ROOT CAUSE CONFIRMED,Officer can complete full adjudication against synthetic data; no durable record,Live offline probe: case insp_1789231722347_2527 created offline; localStorage mode null; header Mode A,DIAG-002 DIAG-030,1,OPEN
DIAG-002,P0,FRONTEND,Refresh silently substitutes a different demo case at same inspection URL,ui-combined/src/services/mockApi.ts:175-179,ALWAYS after DIAG-001 mock case + refresh,Unknown id shows not-found or honest error,Sunfeast Butter Cookies demo case (INSP-20260910-B144) rendered at /inspections/insp_1789231722347_2527,ROOT CAUSE CONFIRMED,Officer adjudicates a fictional product believing it is their seizure,Live browser test: reload rendered cookie case at same URL,DIAG-001,1,OPEN
DIAG-003,P0,SECURITY,JWT signing secret has hardcoded fallback identical to committed compose secret,members/member-05-evidence/src/auth.py:25-28; docker-compose.yml:39; bsa_certificate.py:58,CONDITION-DEPENDENT (env var unset),Secret only from env; no fallback,Public repo string mints valid officer JWTs for any role; officer signature key hardcoded,ROOT CAUSE CONFIRMED,Full authentication bypass on any deployment missing env var,Code + docker-compose plaintext NYAYADRISHTI_SECRET_KEY and POSTGRES_PASSWORD StatutoryEnforcement@2026,-,1,OPEN
DIAG-004,P0,SECURITY,Unauthenticated download of evidence images and court notice PDFs,members/member-05-evidence/src/server.py:634-638 and 1878-1882,ALWAYS,Statutory evidence and notices require auth,Evidence image (8.6MB) and notice PDF (8989 bytes %PDF) fetched with no Authorization header,ROOT CAUSE CONFIRMED,Public exposure of seized-goods photographs and legal documents,Live curl 200 responses recorded,DIAG-003,2,OPEN
DIAG-005,P0,SECURITY,SPA catch-all serves arbitrary files without containment check (path traversal),main.py:47-70 (STORAGE_DIR/rel resolve and DIST_DIR join without base check),NOT REPRODUCED via basic variants (404),Only files under intended roots served,Code has no containment guard; traversal variants returned 404 on the running build,ROOT CAUSE STRONGLY INDICATED,Potential leak of legal_metrology.db with credential hashes,Code reading; runtime variants all 404,DIAG-004,2,OPEN
DIAG-006,P0,EVIDENCE,Evidence Dossier displays fabricated Section 63 validation for uncertified unadjudicated case,ui-combined/src/pages/EvidenceDossier.tsx:106-118/391-394/438/484-500,ALWAYS for any live case,Seal only when backend certificate exists and officer signed,UI shows Section 63 BSA 2023 Validated + Merkle bb88da3b + Adjudicating Officer Rajesh Sharma; backend has 0 certificates merkle root 63df5fa9 and no adjudication; client-side merkle recomputation and sha256-of-test fallback,ROOT CAUSE CONFIRMED,Forged court-evidence artifact; contradicts certified chain,Live UI vs mode_b audit_logs comparison for insp_7ea5e375,DIAG-020,1,OPEN
DIAG-007,P0,BACKEND,Notice generator fabricates a violation and issues Form-1 for compliant products,members/member-05-evidence/src/server.py:1760-1769/1772-1809,ALWAYS when no FAIL evaluations exist,Notice requires established violation,Default fallback violation invented (Rule 6(1)(h) -1.88mm -47.0%) with fabricated device serial TAB-ACTIVE4-HW-9988 and nonexistent cert.pdf path,ROOT CAUSE CONFIRMED,False legal accusation on compliant product; fabricated attestation on court document,Code; DB: 34 certs in mode_a carry serial TAB-ACTIVE4-HW-9988,DIAG-023,1,OPEN
DIAG-008,P0,AI/CV,Statutory font height measured from bounding-box WIDTH not glyph height,members/member-03-extraction/src/extractor.py:574-579 (bbox[2]-bbox[0]),ALWAYS for multi-char text runs,h_px = glyph height (bbox[3]-bbox[1]),Width of text run divided by px_to_mm presented as numeral height (6.97mm vs true 1.78mm on watch image),ROOT CAUSE CONFIRMED,Systematic false PASS on Table-I font checks across all wide text,Live pipeline result bbox 3130,2189,3271,2225 -> 141px/20.226=6.97mm,-,1,OPEN
DIAG-009,P0,BACKEND,Fabricated quality/calibration metrics persisted as statutory evidence on decode failure,members/member-05-evidence/src/server.py:547-586/960-962/1016-1017/1024-1029,ALWAYS when cv2 decode or probe throws,Honest failure or UNABLE_TO_VERIFY,Pre-seeded defaults 342.18/0.84/1.45 and ARUCO/12.45 saved with passed=true; qg re-verify exception sets qg_passed_real=True,ROOT CAUSE CONFIRMED,Evidence record claims measurements that never occurred,mode_a DB: 140/140 evidence rows identical blur 342.18 and pxmm 12.45; live fake PDF accepted with passed=true,DIAG-029,1,OPEN
DIAG-010,P0,LEGAL,Missing fields become FAIL with no applicability or image-quality gating (UNKNOWN converted to VIOLATION),members/member-04-rule-engine/src/evaluators.py:858-934; triage precedence FAIL>UNABLE_TO_VERIFY at 786-807,ALWAYS on degraded real labels,UNABLE_TO_VERIFY for unreadable or not-applicable fields,Missing manufacturer/net qty/MRP/consumer care/origin each emit FAIL; one unreadable field flips whole verdict to FAIL; origin FAIL even for domestic goods (no imported-goods gate),ROOT CAUSE CONFIRMED,Wrongful legal accusations from OCR gaps; violates 4-state mandate and ADL-12,Batch: 45/75 real images zero extracted fields; 38 FAIL verdicts driven by MISSING,DIAG-008 DIAG-026,1,OPEN
