PRODUCT,IMAGE,UPLOAD,QUALITY,CALIBRATION,OCR,EXTRACTION,RULES,EVIDENCE,DATABASE,REPORT,HISTORY,FINAL STATUS
Earbuds,img (1).jpeg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Earbuds,img (2).jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Earbuds,img (3).jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Earbuds,img (4).jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Earbuds,img (5).jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Earbuds,img (8).jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Herbal hair oil,image-1.jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Herbal hair oil,image-2.jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Herbal hair oil,image-3.jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Herbal hair oil,image-4.jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Herbal hair oil,image-5.jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Herbal hair oil,image-6.jpeg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Item 1 - Watch,back_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,back_angle_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Item 1 - Watch,bottom_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,close_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,close_02.jpg,PASS,PASS,PASS,HALTED,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,far_01.jpg,PASS,PASS,PASS,HALTED,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,front_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,front_angle_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,glare_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,left_01.jpg,PASS,PASS,PASS,HALTED,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,low_contrast_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,right_01.jpg,PASS,PASS,PASS,HALTED,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,side_02.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 1 - Watch,side_angle_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,back_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,back_angle_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,bottom_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,front_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,front_angle_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,glare_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
Item 2 - General Wellness,glare_barcode_01.jpg,PASS,PASS,PASS,HALTED,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,glare_front_01.jpg,PASS,PASS,PASS,HALTED,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,left_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,right_01.jpg,PASS,PASS,PASS,HALTED,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,side_angle_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
Item 2 - General Wellness,top_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,back_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,back_02.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,bottom_angle_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,close_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,far_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,front_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,front_02.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,front_angle_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,left_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,right_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,top_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 1 facewash,top_angle_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 2 perfume,back_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 2 perfume,back_angle_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 2 perfume,bottom_angle_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 2 perfume,close_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 2 perfume,far_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 2 perfume,front_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 2 perfume,front_02.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 2 perfume,front_angle_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 2 perfume,top_angle_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 3 edible,back_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 3 edible,back_02.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 3 edible,back_03.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 3 edible,back_angle_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 3 edible,close_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 3 edible,far_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 3 edible,front_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 3 edible,front_02.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 4,back_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 4,back_02.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 4,back_angle_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 4,bottom_01.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 4,far_01.jpg,PASS,PASS,PASS,PASS,SUCCESS,FAIL,PASS,PASS,PASS,PASS,FAIL
item 4,front_01.jpg,PASS,PASS,PASS,HALTED,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
item 4,front_02.jpg,FAIL,REJECT,SKIPPED,HALTED,FAIL,UNABLE_TO_VERIFY,PASS,PASS,PASS,PASS,UNABLE_TO_VERIFY
item 4,front_angle_01.jpg,PASS,PASS,PASS,HALTED,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
