FEATURE,FRONTEND,ENDPOINT,REQUEST,RESPONSE,DATABASE,UI_STATE,STATUS,ISSUE_ID
Login (backend),liveApi.ts:77-90 auto-login,POST /api/v1/auth/login,"{username,password} hardcoded Officer@2026",200 JWT HS256,users table PBKDF2 hashes,session in localStorage+sessionStorage,WORKS but hardcoded creds,DIAG-003/011
Login (UI),AuthContext.tsx:104-129,/login (SPA),any password accepted,ok:true always,none,fake user context,BROKEN (decorative),DIAG-011
Create inspection,NewInspection.tsx:127-145 via liveApi,POST /api/v1/inspections,"{product_name,brand,category,net_quantity,circle_id hardcoded}",201 id + inspection_number,inspections row PENDING,form state not reset,BROKEN (brand field silently dropped; unknown fields ignored),DIAG-013/021
Upload image,NewInspection.tsx:168-169 via liveApi:483-490,POST /api/v1/inspections/upload,"multipart image + metadata JSON (contract undocumented); width/height hardcoded 1920x1080",201 image_id + quality_gate + sha256,evidence_images row; storage sha256-named file,preview blob only,BROKEN (top-level inspection_id ignored forks orphan; PDF accepted; fabricated metrics on decode failure),DIAG-009/013/029
Execute pipeline,CaseWorkspace.tsx:154-166 via liveApi:540,POST /api/v1/pipeline/execute/{image_id},"{} (+ _scenario param ignored live)",200 verdict + extracted_fields + rule_evaluations + calibration + PDP + merkle_root,compliance_evaluations rows; bounding_boxes; verdict committed before audit,synchronous 3-10s; all steps shown green,BROKEN (real data 0/75 PASS; width-as-height font; hardcoded PDP; synchronous),DIAG-008/010/014/026/027
Case detail,InspectionDetails.tsx:26,GET /api/v1/inspections/{id},path id (fuzzy match incl product_name ilike),200 full case; no created_at field,inspections + evidence_images + evaluations,fabricated created_at as now; violations_count 0,PARTIAL (fuzzy lookup risk; missing fields synthesized),DIAG-021/036
List inspections,Inspections.tsx:16-30 (duplicate calls x2),GET /api/v1/inspections(+circle_id),query params,200 first 50 items,SELECT pagination,no workflow_status in list -> synthesized,BROKEN (KPIs from page 1; duplicate fetches),DIAG-019
Adjudication (case),CaseWorkspace via liveApi:592,PATCH /api/v1/inspections/{id}/adjudicate,"{verdict,notes}",200 adjudicated_by/at,inspections.adjudication fields,officer_id fabricated INSP-DL-0842,PARTIAL (identity fabricated),DIAG-021
Adjudication (finding),liveApi.ts:638-647,none,none,fabricated success,none,success shown,P0-BROKEN (no persistence),DIAG-017
Close case,liveApi.ts:680-689,POST /api/v1/inspections/{id}/close,"{remarks}",422 without remarks; works with remarks,overall_status CLOSED,404 fallback silently issues DISMISS_AS_COMPLIANT,PARTIAL (fallback fabricates verdict),DIAG-021
Notice generation,CaseWorkspace.tsx:217-218 via liveApi,POST /api/v1/notices/generate,"{inspection_id,compounding_fee 5000 hardcoded,reply_window 15}",201 notice + cert + PDF path,legal_notices + bsa_certificates,reference displayed,BROKEN (fabricates violation for compliant cases; fake device serial),DIAG-007/023
Notice PDF download,EvidenceDossier/Reports,GET /api/v1/notices/{id}/pdf,no auth required,200 %PDF,generated_pdf_path,download link,P0-BROKEN (unauthenticated),DIAG-004
Evidence image,liveApi.ts:393-394,GET /api/v1/evidence/image/{image_id},no auth required,200 image bytes,evidence_images.file_path,img src,P0-BROKEN (unauthenticated; demo swap on missing file),DIAG-004/037
Evidence dossier (backend),EvidenceDossier.tsx via liveApi:451-472,GET /api/v1/inspections/{id}/evidence-dossier,auth,200 summary,bsa_certificates + audit_logs,fabricated mock data without mode flip on error,PARTIAL,DIAG-001/006
Evidence dossier (UI seal),EvidenceDossier.tsx:106-118/391-394,client-side only,none,none,none,Merkle recomputed in browser contradicts backend; Validated seal always,BROKEN (forged certificate surface),DIAG-006
Audit trail,CaseWorkspace via liveApi:427-449,GET /api/v1/inspections/{id}/audit-trail,auth,200 hash-chained events,audit_logs,actor hardcoded OFFICER; fabricated on failure,PARTIAL,DIAG-021
Dashboard summary,unused (zero callers),GET /api/v1/dashboard/summary,auth,200 aggregates,aggregation query,endpoint dead; page uses list,BROKEN (dead endpoint; KPI page-1 only),DIAG-019/042
System health,ConnectivityBadge.tsx,GET /api/v1/health,none,200 ONLINE always (+chain flag ignored),chain verification full recompute,no mount-time check; manual refresh only,PARTIAL,DIAG-034/042
Sync bundle (Mode B),none (frontend never calls),POST /api/v1/inspections/sync-bundle,bundle JSON,200 ack,nothing imported; synced_to_central stays 0,BROKEN (366/366 unsynced),DIAG-016
Demo SKUs (local_runner),Header demo menu,POST /api/v1/demo/skus/{sku}/run (unauthenticated),sku_id,201 inspection + certificate,rows written WITHOUT audit,seamless demo,PARTIAL (open cert writer in Mode B),DIAG-028
E-commerce case,NewInspection ?mode=ecommerce,POST /api/v1/inspections/ecommerce,url record,201 SUCCESS,no processing at all,list shows empty case,PARTIAL (record-only stub),DIAG-021
Report downloads,Reports.tsx:21-28,none (no API),none,none,none,fake success toast,P0-BROKEN (dead controls),DIAG-018
Dossier JSON export,EvidenceDossier.tsx:157-200,client-side assembly,none,none,none,court bundle built in browser,BROKEN (not certified dossier),DIAG-006/020
