ENDPOINT,METHOD,FRONTEND_CALLER,BACKEND_ROUTE,BACKEND_FILE,BACKEND_LINE,LIVE_IMPLEMENTATION,DEMO_INTERCEPTION,MOCK_FALLBACK,EXPECTED_RESPONSE,ACTUAL_RESPONSE_LIVE,ACTUAL_RESPONSE_MOCK,STATUS,ISSUES
/api/v1/system/status,GET,liveApi.ts:711,app.get /api/v1/system/status,server.py,329-344,YES,NO,YES (silent catch returns DISCONNECTED),Health JSON with status/version/audit_chain_valid,{status:ONLINE system_mode audit_chain_valid:true},"{status:DISCONNECTED repealed_acts_cited:null}",OK,"Graceful degradation is correct here; offline status returned rather than mock data"
/api/v1/health,GET,liveApi.ts:718,app.get /api/v1/health,server.py,330,YES,NO,NO (no catch),Health JSON,{status:ONLINE ...},N/A — no fallback for health,OK,Same handler as /system/status
/api/v1/auth/login,POST,liveApi.ts:77-97,app.post /api/v1/auth/login,server.py,351-405,YES,NO,NO (throws on failure),JWT access token + user claims,{access_token... role... jurisdiction_id},N/A — no mock for auth,OK — INSECURE,"Credentials inspector_rajesh/Officer@2026 hardcoded in frontend (P0-SEC-001). No rate limiting visible."
/api/v1/auth/me,GET,Not called directly (via get_current_user dependency),app.get /api/v1/auth/me,server.py,408-417,YES,NO,NO,Current user profile,{id role name jurisdiction_id},N/A,OK,Not directly called from frontend service layer
/api/v1/inspections,POST,api.ts:152-176 → liveApi.ts,app.post /api/v1/inspections,server.py,419-481,YES,NO,YES (503/NetworkError → MOCK silently),Created InspectionCase,New case with real ID,Mock case with insp_offline_XXXX ID,RISKY,"P0-INT-001: Silent MOCK promotion on failure. Creates mock case without notifying officer."
/api/v1/inspections,GET,api.ts:123-145 → liveApi.ts,app.get /api/v1/inspections,server.py,1240-1282,YES,NO,YES (NetworkError → MOCK silently),{total items[]},[real inspection summaries],[GOLDEN_SKU mock summaries],RISKY,P0-INT-001: Silent mock fallback returns synthetic inspection list
/api/v1/inspections/{id},GET,api.ts:196-267 → liveApi.ts,app.get /api/v1/inspections/{id},server.py,1284-1442,YES,YES (isDemoId check routes to DemoFixtureService or mockData),YES (LIVE mode tries live then falls to mock),InspectionCase,Real case from PostgreSQL,Golden SKU fixture case,RISKY,"P0-INT-001 + P1-FE-003: isDemoId matches ins-2026-*; pipeline artifact cache may override backend data"
/api/v1/inspections/upload,POST,api.ts:234-279 → liveApi.ts,app.post /api/v1/inspections/upload,server.py,483-632,YES,NO,YES (NetworkError → MOCK silently),{image_id raw_sha256 quality_gate},Real upload with SHA-256 hash,Mock EvidenceAsset with fake SHA-256,RISKY,"P0-INT-001: Silent fallback. If mock upload used, all subsequent pipeline on mock imageId."
/api/v1/pipeline/execute/{imageId},POST,api.ts:281-300 → liveApi.ts,app.post /api/v1/pipeline/execute/{image_id},server.py,742-1238,CONDITIONAL (fixture match first),YES (if is_explicit_demo + fixture match),YES (NetworkError → MOCK silently),InspectionCase with pipeline outputs,Fixture data if demo SKU name matches OR real pipeline if unknown SKU,"Mock pipeline results (simulated extraction/rules); no real image analysis","BROKEN — FIXTURE-BIASED","P0-MOCK-001: Fixture bypass for demo SKUs. P0-MOCK-002: PYTEST_CURRENT_TEST bypass. P0-INT-001: Network fallback."
/api/v1/inspections/{id}/adjudicate,PATCH,api.ts:306-328 → liveApi.ts,app.patch /api/v1/inspections/{id}/adjudicate,server.py,1518-1563,YES,YES (INS-2026-* → mock),NO (throws on failure),OfficerDecision,Real officer decision persisted to DB,Mock OfficerDecision from MockApiService,RISKY,"P1-FE-003: INS-2026-* intercepted to mock. liveApi.ts:594 hardcodes officer_id in response."
