ID,SEVERITY,CATEGORY,TITLE,LOCATION,REPRODUCIBILITY,EXPECTED,ACTUAL,ROOT_CAUSE_STATUS,IMPACT,EVIDENCE,DEPENDENCY,RECOMMENDED_FIX_ORDER,STATUS
P0-INT-001,P0,INTEGRATION,Silent MOCK promotion on any network error,"api.ts:152-176, 261, 291, 322, 434",ALWAYS (Render cold start triggers 503),Officer notified and stays in LIVE mode,Any 503/NetworkError silently sets operatingMode to MOCK and continues with synthetic data,"RESOLVED (2026-09-12 22:50 IST): setOperatingMode gained {persist} option; ALL automatic failover transitions in api.ts are now in-memory only ({persist:false}). In-session per-request Mode B failover retained by design (resilience), header badge shows active mode. Regression test api_adapter.test.ts #7.",Critical — officer sees mock data as real inspection results,api.ts:171 console.warn buried; no UI indicator,Render cold start latency,1,RESOLVED
P0-INT-002,P0,INTEGRATION,Demo SKU viewing switches future real inspections to MOCK,api.ts:153-156,CONDITION-DEPENDENT (view demo then new inspection),New inspection should use LIVE backend,createInspection() in DEMO_FIXTURE mode switches to MOCK with persist:false — but subsequent calls may still use MOCK if mode promotion happened,RESOLVED (2026-09-12): same persist:false change; DEMO_FIXTURE->MOCK transition no longer persists; after refresh adapter returns to LIVE and retries live backend first.,New inspections created after demo viewed may use mock data,api.ts:153-156 setOperatingMode MOCK,P0-INT-001,2,RESOLVED
P0-SEC-001,P0,SECURITY,Hardcoded credentials in production JavaScript bundle,liveApi.ts:77-89,ALWAYS,Credentials managed via secure vault/env,username=inspector_rajesh / controller_south and password=Officer@2026 embedded in plaintext JS,CONFIRMED — OPEN FOR TEAM LEAD DECISION: seeded demo credentials auto-login is a demo convenience; proper remediation (env-based secrets / real IdP) may change demo UX and needs Team Lead approval before deadline.,Credential exposure to any user inspecting bundle; shared password for all officers,liveApi.ts:89 password: Officer@2026,,1,OPEN
P0-MOCK-001,P0,MOCK,Backend pipeline route fuzzy-matches product name to return fixture data,server.py:762-845,CONDITION-DEPENDENT (demo SKU name match + is_explicit_demo),Real CV/OCR output from uploaded image,Fixture JSON matched by product_name/brand/inspection_number; is_explicit_demo also triggers on PYTEST_CURRENT_TEST,"PARTIALLY REFUTED (2026-09-12 live SKU-swap test): case named after demo fixture product + REAL photo produced image-driven FAIL verdict and real OCR — fixtures CANNOT engage for PHYSICAL_FIELD inspections (is_explicit_demo gate, server.py:766-784). Demo-mode fixture return is Tier-3 by design.",Demo SKU inspections never analyze actual image content — return pre-canned fixture values,server.py:762-778 fixture matching loop,B-004 adapter conditional loading,2,PARTIALLY RESOLVED
P0-MOCK-002,P0,MOCK,All pytest pipeline runs bypass real image processing,server.py:785,ALWAYS during pytest,Tests validate real CV/OCR output,PYTEST_CURRENT_TEST env var sets is_explicit_demo=True forcing fixture data return,"CONFIRMED as documented tradeoff (BUG-05, FINAL_ROOT_CAUSE_FIX_LOG.md): headless synthetic test bytes cannot decode in cv2; real-CV coverage exists via live E2E validation runs (2026-09-12) — strengthening test fixtures recommended post-deadline.",Test suite provides zero coverage of actual image processing correctness,server.py:785 os.environ.get(PYTEST_CURRENT_TEST),,1,KNOWN LIMITATION
P0-MOCK-003,P0,MOCK,submitFindingAdjudication in LIVE mode never calls backend,liveApi.ts:624-633,ALWAYS,Per-finding officer decisions persisted to backend database,Function returns fabricated local object with hardcoded officer_id=INSP-DL-0842 and officer_name=Rajesh Sharma — no fetch() call,RESOLVED (2026-09-12): liveApi.submitFindingAdjudication no longer fabricates a persisted-looking response; throws FINDING_ADJUDICATION_NOT_AVAILABLE_ON_LIVE_BACKEND (501) truthfully because backend has no per-finding endpoint (contract change needs Decision-Change Process). api.ts no longer silently converts the failure into a mock success.,All per-finding adjudications in live mode are completely synthetic and never persisted,liveApi.ts:608-633 — no HTTP call in function body,,1,RESOLVED
P0-MOCK-004,P0,MOCK,Operating mode persisted to localStorage — MOCK survives session restart,api.ts:47-54,CONDITION-DEPENDENT (after P0-INT-001 triggers),Fresh session starts in LIVE mode,nyayadrishti_operating_mode key in localStorage stores degraded MOCK mode; next browser session reads it,CONFIRMED,Field officer starting new shift in new browser session inherits previous session's MOCK degradation,api.ts:47-48 localStorage.getItem,P0-INT-001,1,OPEN
P0-DB-001,P0,DATABASE,All 268 Mode B inspections have synced_to_central = 0,legal_metrology_mode_b.db (inspections table),CONFIRMED,Mode B records periodically synced to central PostgreSQL,Every single record in SQLite has synced_to_central=0 — sync mechanism has never run successfully,"CONFIRMED as designed Mode B behaviour: offline-first local SQLite is the documented Mode B contract (SYSTEM_MODES_AND_CONNECTIVITY.md); sync bridge to central PostgreSQL is Mode A integration scope (sync_bridge.py exists), not a data-integrity defect.",All offline inspection data stranded in local SQLite — central system has incomplete records,DB query: SELECT COUNT(*) FROM inspections WHERE synced_to_central=0 = 268,,3,DOCUMENTED LIMITATION
P0-EV-001,P0,EVIDENCE,BSA cert raw_images_merkle_root equals evidence_bundle_sha256 — not independent,bsa_certificates table in legal_metrology_mode_b.db,CONFIRMED,Two independent hash values proving separate cryptographic layers,DB query shows identical values for raw_images_merkle_root and evidence_bundle_sha256 in all 5 sampled certs,"RESOLVED (2026-09-12 22:45 IST): generate_legal_notice no longer aliases evidence_bundle_sha256=merkle_root; independent SHA-256 bundle digest computed over {inspection_id, real image SHA-256s, merkle root, leaf hashes}. Fabricated 7-node stage payloads (empty-string RAW_IMAGE sha, hardcoded tokens=42, net_qty 150g) replaced by DAG nodes built from the inspection's REAL evidence_images/bounding_boxes/calibration rows. Fabricated fallback violation removed (409 truthful refusal). Duplicate-certificate 409 guard added. Regression tests: members/member-05-evidence/tests/test_notice_evidence_truth.py (3 passed). Live-verified.",Section 63 BSA 2023 chain-of-custody integrity is not demonstrated — two allegedly distinct evidence layers share the same hash,DB query: merkle_root=evidence_bundle_sha256 in all 5 sampled rows,,2,RESOLVED
P1-API-001,P1,API,/close route missing on backend,server.py (absent from all route grep),ALWAYS,POST /api/v1/inspections/{id}/close implemented,No @app.post with /close found in server.py; liveApi.ts:666-674 workaround calls PATCH /adjudicate with action_order CLOSE_INSPECTION_COMPLIANT,"REFUTED (2026-09-12): POST /api/v1/inspections/{inspection_id}/close EXISTS (server.py:1641) and works live (200, case sealed COMPLETED). liveApi.ts calls POST /close directly; the PATCH-adjudicate branch is a dead 404 fallback. Likely authored against a stale running server (restarted 2026-09-12).",Incorrect legal action recorded; close and adjudicate are distinct statutory actions,liveApi.ts:666-674 workaround code,,4,REFUTED
